aerosol_height (m),temp (°C),dew (°C),humidity (%),precip (mm),windspeed (km/h),sealevelpressure (mb),UVindex,CH4(ppb)
3000.1185643412564,17.1,1.1,39.5,0.0,20.5,1012.1,9,1903.2490173720416
2994.4886569473874,18.7,0.1,37.8,0.0,27.7,1008.0,9,1924.9153765744693
2981.0740423049992,18.3,2.1,41.9,0.0,22.3,1008.2,8,1908.8755868309788
2988.6872027841528,16.5,-2.7,29.4,0.0,18.4,1010.5,9,1928.2137381827563
3012.957468551548,16.6,4.6,50.1,0.0,20.5,1009.2,8,1921.909661103877
3011.755816814765,18.3,9.0,60.0,1.7,22.3,1004.8,7,1928.042940529035
3003.097178057037,12.0,0.9,48.6,0.0,33.5,1012.5,9,1935.3792789624465
3003.097178057037,6.2,-1.5,60.7,0.0,24.1,1023.6,8,1935.3792789624465
3030.1925026518866,9.5,-1.1,52.1,0.0,14.8,1022.4,9,1901.5973178468248
3001.3344292498705,13.1,2.6,52.6,0.0,22.3,1018.5,9,1906.001554977156
3001.3344292498705,16.5,8.7,66.5,0.0,29.5,1011.9,9,1906.001554977156
3001.3794222542674,19.5,3.4,49.1,0.0,29.5,1006.2,9,1884.3646591264976
3001.45771747876,18.7,-0.9,28.7,0.0,18.4,1005.9,9,1892.1738897259056
3001.5360127032523,13.6,8.0,70.2,4.6,35.3,1014.7,3,1899.9831203253127
3005.916999350052,11.4,9.9,90.8,5.0,20.5,1014.6,2,1902.3018410258812
3013.223736739741,11.3,9.7,90.1,3.4,18.4,1015.4,2,1914.274858782679
3012.0537514368484,12.1,2.7,56.6,0.3,20.5,1022.3,9,1903.465100287354
3000.9838517951466,12.5,3.8,57.9,0.0,25.9,1018.6,9,1914.1823507707984
3000.9838517951466,14.3,7.6,67.1,0.0,22.3,1013.3,9,1914.1823507707984
2994.7995753231185,16.2,8.1,64.9,0.6,22.3,1012.0,9,1927.023765631476
2979.4987258643177,16.5,3.2,47.3,0.0,20.5,1012.4,10,1925.154815409424
2976.465095009168,15.8,7.2,61.4,0.0,33.5,1014.3,9,1916.2528943079149
3020.4116133481325,18.7,5.2,48.2,0.0,53.6,998.7,9,1914.9749997366027
2981.6188006008388,14.0,-3.3,31.2,0.0,44.3,1002.8,9,1918.7853819308712
2999.3351153999097,11.4,-2.4,41.3,0.0,22.3,1012.6,10,1915.849425724398
2978.6178056424674,13.4,-3.6,35.0,0.0,29.5,1017.0,10,1910.5944764052383
3000.1742624363114,14.4,-2.3,39.4,0.0,25.9,1017.8,10,1914.198455506188
3000.1742624363114,19.3,6.5,46.1,0.0,48.2,1008.7,8,1914.198455506188
3030.599478932163,21.1,9.6,55.9,0.0,24.1,1008.1,8,1912.831299321
3006.726449185712,23.5,11.3,56.2,0.0,40.7,1004.3,9,1893.6453346595624
3017.5205150493093,22.2,9.2,49.9,0.0,63.0,1002.7,7,1918.904926294403
3000.2262437273184,14.6,-1.2,35.0,0.0,29.5,1015.0,10,1925.661048415021
3000.1543172763304,14.9,-3.4,32.8,0.0,20.5,1016.7,10,1927.4828779799705
3000.124055644936,18.8,-4.3,24.0,0.0,16.6,1013.4,10,1933.896228273621
3000.182335500885,20.8,-1.8,23.4,0.0,44.3,1010.9,10,1924.37988806973
3000.1989505372408,20.6,3.5,39.3,0.0,51.8,1005.9,10,1910.2720271371368
3000.508547847476,16.8,-11.0,14.9,0.0,22.3,1011.3,10,1919.8517827701155
3000.508547847476,19.2,5.4,42.7,0.0,27.7,1006.7,8,1919.8517827701155
2979.3795033176607,17.0,11.8,75.0,9.4,27.7,1006.1,8,1901.9031070780236
2979.77429585915,13.3,3.6,56.6,0.0,37.1,1013.4,10,1896.700863800624
3000.051619705529,16.6,-0.3,36.6,0.0,16.6,1017.6,10,1941.7372960028183
3000.051619705529,19.7,0.8,31.1,0.0,46.4,1017.5,10,1941.7372960028183
3026.519103166129,22.8,6.4,36.1,0.0,42.5,1013.9,10,1912.0887354257145
3022.074456521128,24.7,9.7,45.4,0.0,27.7,1010.1,10,1918.9278686274008
3014.652197346633,25.2,15.2,57.1,0.8,29.5,1003.6,9,1900.229609147169
2978.7527164154444,22.8,-3.6,21.8,0.0,22.3,1007.9,10,1898.3434928465488
2982.6830174152574,23.9,2.4,28.9,0.0,16.6,1009.3,9,1918.080601000286
3000.564424204344,25.8,10.6,48.4,0.0,22.3,1009.6,10,1921.0543787013216
3000.564424204344,15.4,8.7,64.6,0.3,25.9,1014.0,4,1921.0543787013216
2971.4183380860804,13.1,11.0,87.7,41.7,33.5,1016.4,2,1922.1905773478225
2997.891925793925,11.3,6.5,74.4,0.6,24.1,1022.3,6,1915.945681167831
3000.6676053265373,14.5,6.9,63.4,0.0,27.7,1017.2,10,1913.2965667536605
3000.4719372754425,20.6,11.4,60.3,0.0,29.5,1010.5,10,1917.4930051777264
3000.276269224348,22.8,16.1,70.4,0.0,25.9,1011.2,9,1921.6894436017924
2996.8317940881884,24.2,17.6,68.4,5.6,33.5,1006.8,8,1900.992971734624
3003.2328683952283,24.1,4.2,39.2,2.3,35.3,1004.1,10,1900.4656609078413
3003.2328683952283,24.7,7.4,40.0,6.9,31.3,1001.3,10,1900.4656609078413
3000.065564733909,21.0,2.6,33.3,7.4,16.6,1008.2,10,1928.9459129738807
3000.1064648324777,22.1,1.5,29.9,0.0,18.4,1009.4,10,1918.5794816496443
3000.147364931046,25.0,14.9,56.6,3.9,29.5,1007.1,10,1908.2130503254075
3004.72512359782,24.5,18.6,71.5,30.2,37.1,1004.0,9,1928.6721431168623
3001.2709130299954,26.4,11.4,52.9,4.8,25.9,1003.4,10,1924.2578219394643
3001.2709130299954,23.9,15.7,63.5,4.7,31.3,1006.0,9,1924.2578219394643
2983.3881117519,21.4,18.0,82.4,37.6,25.9,1007.7,8,1909.098021284492
3024.90331652313,20.2,17.4,85.3,18.1,18.4,1009.0,5,1908.3607320438712
3000.084980218523,25.2,11.8,56.1,0.0,27.7,1002.9,10,1922.0901258231188
2999.7569305555444,25.3,3.3,29.5,0.0,25.9,1003.2,10,1916.9550036403127
2999.891210986566,27.2,5.0,33.2,0.0,22.3,1000.3,10,1908.3277616981868
3000.275775841735,26.4,3.7,27.7,0.0,29.5,1003.9,10,1937.2905667662808
3000.198010602904,20.8,12.7,62.0,0.9,27.7,1012.5,7,1969.745491593697
3030.417761512699,20.2,13.6,66.1,9.5,22.3,1011.3,7,1900.746050984708
3022.7934742695224,23.6,13.3,61.9,6.0,22.3,1005.1,10,1894.5266121523707
3000.7303949322777,23.1,8.6,45.5,0.0,20.5,1007.1,10,1909.4084411590727
3000.7303949322777,24.5,8.6,40.6,0.0,22.3,1007.5,10,1909.4084411590727
2989.6130635530767,26.1,11.0,41.5,0.3,42.5,1003.6,8,1912.727850178188
3026.663677820201,24.8,15.8,60.3,25.6,35.3,1004.0,7,1898.9383636059297
3000.014830592904,21.3,12.4,63.4,4.3,13.0,1008.1,10,1919.0405903555832
3000.0892293369448,26.2,8.2,41.9,0.0,22.3,1007.0,10,1926.2942491708243
3000.8125380435786,29.6,11.3,36.7,0.0,42.5,1006.7,10,1919.6720083241669
